ID,class,confidence,lantitude,longitude,area_m2
0,乱建,0.9608,117.41962083333334,31.827240944444444,
1,乱堆,0.9513,117.41962083333334,31.827240944444444,
2,乱建,0.9046,117.41962083333334,31.827240944444444,
3,乱建,0.8524,117.41962083333334,31.827240944444444,
